mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_110933,CCC1CC2C(CO)C12,2.58899,1.03245,0.88961,1.2212,85.97,-0.2478,0.0749,0.3227,1442.9603,0.205663,-388.253763,-388.244067,-388.243123,-388.288569,36.541
gdb_51010,C1CC1C2(CC2)OC=O,2.27458,1.32508,0.96719,3.9102,77.28,-0.2584,0.0011,0.2595,1262.7101,0.157657,-423.011979,-423.003052,-423.002108,-423.046098,33.152
gdb_118,CC#CCO,25.23558,2.07322,1.96278,1.2486,46.92,-0.2421,0.0368,0.2789,613.8892,0.089036,-231.111403,-231.104707,-231.103763,-231.142502,20.884
gdb_76398,OC1C(O)C1(C)C1CC1,2.95427,1.08207,1.00985,2.0274,78.91,-0.2233,0.0549,0.2782,1294.6477,0.180813,-424.183422,-424.17364,-424.172696,-424.218001,37.083
gdb_14016,C1C2(N1C=O)COC2,5.24802,1.31242,1.21742,1.9121,63.2,-0.2612,-0.0101,0.2511,981.8371,0.118179,-399.759235,-399.751834,-399.75089,-399.791515,26.166
gdb_91061,OC1CC2C3NC3C2=C1,3.95593,1.23707,1.14833,2.9332,78.43,-0.2306,0.0029,0.2335,1102.0536,0.149317,-401.876024,-401.868764,-401.86782,-401.907641,29.568
gdb_65574,CC1(CC2CC2C1)C#C,3.24865,1.21095,1.16719,0.6495,87.41,-0.255,0.06,0.315,1176.4894,0.18259,-349.92377,-349.915033,-349.914089,-349.956548,34.978
gdb_56688,NC(C#N)C1(O)COC1,2.49786,1.30608,1.12879,3.7603,68.14,-0.2616,0.015,0.2766,1132.8539,0.135536,-455.117066,-455.107876,-455.106932,-455.151331,33.137
gdb_119331,COCC12C3C4C3C1C24,5.27597,1.01363,0.98071,1.07,79.37,-0.2178,0.0776,0.2955,1273.9201,0.158096,-385.760172,-385.752047,-385.751102,-385.793471,30.73
gdb_128560,COC1=CC(=N)NN=N1,4.04315,1.18871,0.92398,1.8268,76.0,-0.2206,-0.0693,0.1513,1205.2568,0.11354,-450.099501,-450.091564,-450.09062,-450.132299,29.092
gdb_17905,O=C1C2CCC1CC2,2.76187,2.29629,2.12606,2.8325,69.79,-0.2282,-0.006,0.2223,786.7764,0.157572,-347.842982,-347.836501,-347.835557,-347.873518,25.918
gdb_58179,CC(C)N(C)C(=O)C=O,2.71331,1.08326,0.91656,2.8111,78.28,-0.2471,-0.0703,0.1769,1356.3057,0.16803,-440.319181,-440.3085,-440.307555,-440.356072,37.154
gdb_33648,N#CC12C3OC1C=CC23,3.3719,1.50742,1.40905,3.3903,71.01,-0.2596,-0.0328,0.2268,930.3589,0.102385,-399.513255,-399.506826,-399.505882,-399.544072,25.659
gdb_7372,CCOC(C)C(N)=O,3.70167,1.19222,0.95762,3.4957,68.91,-0.2381,0.0361,0.2742,1240.2973,0.163243,-402.236691,-402.226778,-402.225834,-402.272217,34.7
gdb_57738,NC(N)=NC(C=O)C#N,2.46788,1.09489,0.83368,5.5476,70.06,-0.2498,-0.0417,0.2081,1336.0997,0.11063,-450.147558,-450.137515,-450.136571,-450.183935,34.378
gdb_76749,CC1C(C)C2(C)CCC12,2.14224,1.49333,1.31076,0.1651,91.8,-0.2526,0.0762,0.3288,1199.3952,0.228719,-352.343239,-352.33355,-352.332605,-352.377098,38.209
gdb_45760,O=C1NC=NC1C1CO1,2.88563,1.53478,1.18455,2.322,65.77,-0.251,-0.0232,0.2278,1023.1882,0.113725,-453.962199,-453.954676,-453.953732,-453.994872,27.564
gdb_3544,O=C1C2C3CC1C23,5.75374,2.89442,2.49831,3.4736,56.91,-0.2361,0.0082,0.2444,564.8473,0.103171,-307.284294,-307.27919,-307.278246,-307.312957,20.284
gdb_120900,OCCC1CC2(CO2)C1,5.64771,0.65857,0.63781,2.7006,79.83,-0.258,0.0728,0.3308,1768.4603,0.181219,-424.188233,-424.178774,-424.17783,-424.223259,34.929
gdb_34582,C#CC1=CC=CCOC1,3.59581,1.18501,0.92204,1.4048,93.2,-0.2125,-0.0522,0.1603,1237.2275,0.13599,-384.659927,-384.651746,-384.650802,-384.69285,31.168
gdb_11631,O=C1C2CC1(O2)C#C,3.56644,1.92326,1.52359,2.6252,63.32,-0.2558,-0.0233,0.2325,813.7189,0.081579,-381.241224,-381.234448,-381.233504,-381.272173,25.37
gdb_48086,O=CC(=O)C1C2CC1O2,3.28073,1.23116,1.00768,1.0717,66.62,-0.2462,-0.1052,0.141,1140.5896,0.110579,-457.695676,-457.687846,-457.686901,-457.729481,28.2
gdb_38534,C1C2CC3=CCCOC123,3.11363,1.70607,1.2359,0.7215,83.22,-0.2142,0.0279,0.2422,1033.2391,0.161328,-385.857161,-385.850021,-385.849077,-385.888376,29.473
gdb_117715,CCCC(C)(C)CCC,3.03725,0.67789,0.64395,0.072,100.2,-0.2899,0.0771,0.367,2003.0799,0.272721,-354.778812,-354.766336,-354.765392,-354.81726,45.67
gdb_90101,CC1OC23CN(C2C)C13,2.86225,1.47315,1.28135,0.4875,80.66,-0.2221,0.0332,0.2553,1093.3448,0.169834,-402.975067,-402.966742,-402.965798,-403.007462,32.99
gdb_86883,CC1CC(NC1C)C#N,2.73098,1.19551,0.99824,3.239,82.54,-0.2388,0.0324,0.2712,1277.1265,0.183893,-383.296647,-383.28738,-383.286436,-383.33091,35.026
gdb_28158,Cc1cc2c([nH]1)ocn2,5.26583,1.2773,1.03459,3.4665,74.37,-0.196,0.0145,0.2105,1099.3441,0.114821,-416.846812,-416.839476,-416.838532,-416.878551,27.689
gdb_32165,c1cnc(nc1CO)N,3.79478,1.14595,0.88537,1.892,75.32,-0.2213,-0.0227,0.1986,1248.8531,0.126194,-434.129794,-434.12149,-434.120546,-434.163052,30.733
gdb_120456,CCCC1CC(O)C1=O,3.82443,0.81332,0.72139,2.1953,79.85,-0.2465,-0.0263,0.2202,1625.5278,0.180444,-424.237874,-424.227686,-424.226742,-424.273672,36.471
gdb_40203,C1OC11CCC2COC12,3.01986,1.5617,1.26103,1.5123,74.23,-0.246,0.0596,0.3056,1038.312,0.160751,-422.999335,-422.99188,-422.990936,-423.031363,29.322
gdb_103672,CCC1(O)CC(C1)C#N,3.85863,0.8756,0.83177,5.1885,80.27,-0.2737,0.0315,0.3051,1445.9048,0.169903,-403.161413,-403.151885,-403.150941,-403.195738,35.693
gdb_114075,CC12CC(C1)C(CO)C2,3.21205,1.11659,0.99634,1.2561,85.64,-0.261,0.079,0.34,1307.9122,0.207017,-388.284594,-388.275742,-388.274798,-388.317761,35.183
gdb_110056,CCC1C(C)COC1C,2.04469,1.37894,1.05234,1.546,87.45,-0.2414,0.0695,0.3109,1320.7937,0.229255,-389.507168,-389.497059,-389.496115,-389.541753,38.574
gdb_103385,CC1(CO)C2OC2C1=O,2.6344,1.50686,1.24452,2.6159,67.94,-0.2516,-0.0409,0.2108,1042.6238,0.133873,-458.929411,-458.92082,-458.919876,-458.962389,32.119
gdb_104148,CC1=CC(O)(CO)CC1,2.88479,1.09987,0.96363,2.0447,81.69,-0.2295,0.0304,0.2599,1333.021,0.181396,-424.243204,-424.233448,-424.232504,-424.277628,36.761
gdb_119139,CC(O)C1(CCO)CC1,2.3304,1.0265,0.84684,0.6922,81.52,-0.263,0.0692,0.3322,1469.4934,0.2036,-425.406514,-425.395772,-425.394828,-425.442452,39.888
gdb_87311,NC1CC1(CC#N)C#N,1.95268,1.41195,0.97174,6.7963,74.55,-0.2741,0.0126,0.2867,1220.2796,0.124491,-396.937539,-396.928544,-396.9276,-396.971779,32.514
gdb_10818,CN1CCC(=O)C=C1,4.95177,1.49649,1.19272,5.452,75.03,-0.209,-0.0256,0.1834,995.7891,0.143798,-363.899792,-363.89227,-363.891326,-363.931566,28.044
gdb_129655,c1c(c(c(=O)[nH]n1)N)N,2.36419,1.90063,1.05682,3.7838,74.23,-0.1988,-0.0313,0.1676,1052.7271,0.116193,-450.174563,-450.166831,-450.165887,-450.206402,30.119
gdb_106711,CCC12OC1(C)C1CC21,2.4536,1.49656,1.16271,1.7441,82.17,-0.2362,0.0865,0.3227,1175.4115,0.181138,-387.051308,-387.042307,-387.041362,-387.084806,34.68
gdb_131441,C1CNc2c1c(no2)O,3.34102,1.53086,1.06806,3.0887,68.0,-0.2038,0.0238,0.2276,1054.4734,0.115669,-453.93282,-453.925807,-453.924863,-453.964251,27.204
gdb_103440,COC1(C)C2OC2C1O,2.37845,1.59149,1.35579,2.393,70.61,-0.235,0.077,0.312,1050.9304,0.156799,-460.107556,-460.098516,-460.097572,-460.140739,34.329
gdb_16507,CC12C=CC3CC1N23,3.81572,2.46365,1.86823,1.5903,71.62,-0.2108,0.0058,0.2166,761.5508,0.143938,-326.690923,-326.684585,-326.683641,-326.720835,26.094
gdb_15254,CN1C(CO)C1C=O,2.90177,1.59363,1.42156,1.4187,66.49,-0.2375,-0.0428,0.1947,958.529,0.140184,-400.961307,-400.952481,-400.951537,-400.994683,31.175
gdb_5053,c1cc(=O)ccnc1,3.92,2.03315,1.33878,2.6457,71.39,-0.251,-0.0985,0.1525,842.6713,0.097803,-361.492843,-361.486517,-361.485572,-361.523889,23.296
gdb_79247,CC1C2N3CC1(O)C23C,2.459,1.63225,1.37248,2.0187,78.61,-0.2222,0.0629,0.2851,1061.2471,0.169392,-403.090166,-403.081052,-403.080108,-403.12358,34.5
gdb_13052,O=CCC1CNC1=O,4.14474,1.30729,1.04109,4.9921,62.53,-0.2477,-0.0238,0.2239,1068.3371,0.118061,-399.82685,-399.818847,-399.817903,-399.860287,27.559
gdb_116309,OCC1CCCC1CO,2.15871,1.17163,0.82837,2.331,81.46,-0.2621,0.076,0.3381,1436.1867,0.206426,-425.427782,-425.417778,-425.416834,-425.463296,36.984
gdb_99144,CNC(=O)CN1CC1C,3.5993,0.83628,0.7357,3.6786,81.68,-0.2299,0.0436,0.2734,1612.1605,0.181576,-420.412325,-420.402034,-420.401089,-420.448598,36.415
gdb_36735,N#CCCC1CCCO1,5.21473,0.70726,0.65888,5.2438,80.28,-0.2568,0.0423,0.2991,1688.1849,0.171997,-403.179574,-403.170445,-403.1695,-403.215068,32.598
gdb_33386,C#CC(C#C)(C#C)C#C,1.49727,1.49723,1.49719,0.0007,80.76,-0.2716,0.0195,0.2911,1101.2481,0.082869,-344.980083,-344.970404,-344.96946,-345.014122,35.587
gdb_75495,CC1=CCCC2NC12C,2.14594,1.76434,1.1955,1.5159,88.1,-0.2266,0.0261,0.2527,1150.1177,0.195375,-367.21468,-367.205844,-367.2049,-367.247558,34.926
gdb_88695,CC1CC1C1NC1C#C,3.32492,0.97328,0.82421,1.6137,86.89,-0.2397,0.0383,0.278,1439.6951,0.169603,-365.936879,-365.927468,-365.926524,-365.971652,35.433
gdb_5707,c1[nH]c2c(n1)OCO2,5.1402,2.23912,1.58357,3.6108,55.37,-0.1829,0.0244,0.2073,725.7795,0.086527,-414.646401,-414.640527,-414.639582,-414.67634,22.028
gdb_123424,c1nnn(n1)CC2CC2,4.94803,0.9839,0.90132,3.1496,73.73,-0.2863,-0.0209,0.2654,1293.3908,0.138277,-414.161067,-414.153339,-414.152395,-414.1949,27.897
gdb_60711,OC(C=O)C#CCC#C,3.30839,0.69769,0.60459,2.3409,76.13,-0.2619,-0.0456,0.2164,1759.2405,0.108338,-420.558232,-420.548352,-420.547408,-420.595493,33.913
gdb_105430,CCC1(CN=CO1)C#C,2.30344,1.50859,1.18778,1.6427,77.68,-0.254,0.0163,0.2702,1121.1896,0.146537,-401.932352,-401.923432,-401.922487,-401.966174,33.104
gdb_7655,NC(=O)C1CC(O)C1,3.78346,1.6113,1.37793,5.2257,64.77,-0.2375,0.0163,0.2537,931.7338,0.142846,-401.025687,-401.017726,-401.016781,-401.058228,29.933
gdb_98697,CCC(=O)C1CC1C#C,2.66578,1.09311,0.91526,2.7008,83.05,-0.2413,-0.0155,0.2259,1363.2477,0.156257,-385.870063,-385.860192,-385.859248,-385.905647,35.722
gdb_19664,OC1C2CC3OC2C13,4.45415,2.05419,1.93748,2.2342,62.66,-0.2376,0.0701,0.3077,735.6903,0.132838,-383.690029,-383.684173,-383.683229,-383.719659,24.378
gdb_95085,OC1CCC2CC1(O)C2,2.31735,1.84781,1.27578,2.4827,77.2,-0.2457,0.0624,0.3082,1050.191,0.184399,-424.229617,-424.221502,-424.220558,-424.261621,33.451
gdb_9919,COCCC1(CC1)O,4.96878,0.90831,0.86528,1.9068,72.3,-0.2546,0.0697,0.3243,1400.881,0.174734,-386.11099,-386.101507,-386.100563,-386.145629,34.045
gdb_111893,CCC1C=C(C)C2NC12,2.71703,1.22621,0.94541,1.4504,88.79,-0.2233,0.0216,0.245,1345.2546,0.194835,-367.205962,-367.196872,-367.195928,-367.239679,34.93
gdb_111594,CCN1C2CC3OC2C13,4.22393,1.23139,1.15079,1.2093,78.14,-0.2139,0.076,0.2898,1141.0494,0.17236,-403.082393,-403.074974,-403.07403,-403.114261,30.043
gdb_118328,CCNC(C=O)C(C)=O,1.91576,1.14646,0.82634,2.2601,77.78,-0.2306,-0.0443,0.1863,1464.6118,0.167058,-440.306505,-440.295791,-440.294847,-440.34349,36.993
gdb_128539,Cn1c(c(nn1)OC)O,3.44926,1.26915,0.93877,3.0262,69.22,-0.2027,0.0141,0.2167,1213.9993,0.123487,-471.186221,-471.176948,-471.176004,-471.2209,31.847
gdb_67923,CC12OC(=N)C1C2C#N,2.07804,1.7969,1.1841,5.3466,72.38,-0.2787,-0.0122,0.2665,1054.2991,0.111865,-416.795421,-416.787372,-416.786428,-416.828108,29.86
gdb_67475,OC12C3CC1OCOC23,2.60996,1.73525,1.63151,0.3548,66.25,-0.23,0.0742,0.3043,915.2424,0.137474,-458.911994,-458.90484,-458.903896,-458.943289,28.626
gdb_465,OC1CCC=C1,6.1547,3.46524,2.63178,1.7344,54.16,-0.2491,0.0142,0.2633,528.2233,0.121083,-270.441145,-270.435384,-270.43444,-270.470414,21.367
gdb_54401,CC(=O)C12CC(C1)CC2,3.12954,1.30743,1.16548,2.7565,82.3,-0.2361,-0.0096,0.2265,1154.7189,0.183509,-387.107953,-387.099521,-387.098577,-387.141476,32.675
gdb_118130,CN1CC1C(O)CCO,3.59717,0.74805,0.67501,1.0795,79.56,-0.2262,0.0688,0.295,1712.4648,0.191747,-441.438516,-441.42765,-441.426706,-441.475047,38.741
gdb_31911,C#Cc1cnc(o1)CN,6.20114,0.88611,0.78215,1.2334,80.0,-0.2306,-0.0312,0.1994,1394.8948,0.113003,-416.803646,-416.795188,-416.794243,-416.837332,30.495
gdb_115632,COC1CCC11NC1C,2.21032,1.38304,0.99732,2.0777,83.94,-0.2307,0.0765,0.3071,1301.5213,0.192938,-404.302289,-404.292548,-404.291604,-404.33709,36.04
gdb_31771,CCc1cnc(n1C)O,2.98714,1.27287,0.96439,2.4922,78.45,-0.1927,0.0488,0.2415,1247.849,0.159836,-419.258538,-419.249137,-419.248193,-419.293207,33.953
gdb_21470,N=COC1=NNC=C1,7.90756,1.24753,1.08295,4.5342,63.11,-0.2353,0.0038,0.2391,1015.5345,0.097488,-394.793283,-394.786392,-394.785448,-394.825177,24.512
